,Molecule ID,Solvent-Combo,Method Name,Method Category,File Name,Predicted logD,Experimental logD,Absolute Error
57,SAMPL8-7,MEK-water,COSMO-RS,Physical (QM),logD-3DS-1,-2.58,-0.4,2.18
58,SAMPL8-6,MEK-water,COSMO-RS,Physical (QM),logD-3DS-1,-0.45,-0.5,0.04999999999999999
59,SAMPL8-5,MEK-water,COSMO-RS,Physical (QM),logD-3DS-1,-0.27,-0.4,0.13
60,SAMPL8-3,MEK-water,COSMO-RS,Physical (QM),logD-3DS-1,-1.61,-0.6,1.0100000000000002
61,SAMPL8-1,MEK-water,COSMO-RS,Physical (QM),logD-3DS-1,0.98,-0.2,1.18
62,SAMPL8-16,Heptane-water,COSMO-RS,Physical (QM),logD-3DS-1,-2.94,-1.0,1.94
63,SAMPL8-10,Heptane-water,COSMO-RS,Physical (QM),logD-3DS-1,-2.81,-1.0,1.81
64,SAMPL8-5,Heptane-water,COSMO-RS,Physical (QM),logD-3DS-1,-1.98,-1.2,0.78
65,SAMPL8-1,Heptane-water,COSMO-RS,Physical (QM),logD-3DS-1,0.001,0.0,0.001
66,SAMPL8-17,Ethyl acetate-water,COSMO-RS,Physical (QM),logD-3DS-1,-1.72,-1.4,0.32000000000000006
67,SAMPL8-16,Ethyl acetate-water,COSMO-RS,Physical (QM),logD-3DS-1,0.76,-0.5,1.26
68,SAMPL8-14,Ethyl acetate-water,COSMO-RS,Physical (QM),logD-3DS-1,-1.39,-0.8,0.5899999999999999
69,SAMPL8-12,Ethyl acetate-water,COSMO-RS,Physical (QM),logD-3DS-1,-1.36,-1.4,0.039999999999999813
70,SAMPL8-10,Ethyl acetate-water,COSMO-RS,Physical (QM),logD-3DS-1,0.07,0.1,0.03
71,SAMPL8-9,Ethyl acetate-water,COSMO-RS,Physical (QM),logD-3DS-1,0.18,-0.8,0.98
72,SAMPL8-6,Ethyl acetate-water,COSMO-RS,Physical (QM),logD-3DS-1,0.78,-0.1,0.88
73,SAMPL8-5,Ethyl acetate-water,COSMO-RS,Physical (QM),logD-3DS-1,1.29,0.1,1.19
74,SAMPL8-3,Ethyl acetate-water,COSMO-RS,Physical (QM),logD-3DS-1,-0.76,-0.8,0.040000000000000036
75,SAMPL8-1,Ethyl acetate-water,COSMO-RS,Physical (QM),logD-3DS-1,2.64,0.3,2.3400000000000003
76,SAMPL8-5,Cyclohexane-water,COSMO-RS,Physical (QM),logD-3DS-1,-1.83,-1.1,0.73
77,SAMPL8-16,Octanol-water,COSMO-RS,Physical (QM),logD-3DS-1,0.6,-0.4,1.0
78,SAMPL8-14,Octanol-water,COSMO-RS,Physical (QM),logD-3DS-1,-1.46,-1.0,0.45999999999999996
79,SAMPL8-12,Octanol-water,COSMO-RS,Physical (QM),logD-3DS-1,-1.34,-0.7,0.6400000000000001
80,SAMPL8-10,Octanol-water,COSMO-RS,Physical (QM),logD-3DS-1,-0.47,-0.6,0.13
81,SAMPL8-9,Octanol-water,COSMO-RS,Physical (QM),logD-3DS-1,-0.11,-0.1,0.009999999999999995
82,SAMPL8-7,Octanol-water,COSMO-RS,Physical (QM),logD-3DS-1,-2.57,-1.3,1.2699999999999998
83,SAMPL8-6,Octanol-water,COSMO-RS,Physical (QM),logD-3DS-1,-0.17,-0.4,0.23
84,SAMPL8-5,Octanol-water,COSMO-RS,Physical (QM),logD-3DS-1,0.8,-0.5,1.3
85,SAMPL8-1,Octanol-water,COSMO-RS,Physical (QM),logD-3DS-1,2.42,0.8,1.6199999999999999
86,SAMPL8-16,Cyclohexane-DMF,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-6.03,-1.3,4.73
87,SAMPL8-6,Cyclohexane-DMF,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-8.22,0.0,8.22
88,SAMPL8-1,Cyclohexane-DMF,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-6.6,-0.7,5.8999999999999995
89,SAMPL8-16,TBME-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-1.52,-1.2,0.32000000000000006
90,SAMPL8-10,TBME-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-4.09,-0.9,3.19
91,SAMPL8-6,TBME-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-1.77,-0.2,1.57
92,SAMPL8-5,TBME-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-0.7,0.0,0.7
93,SAMPL8-1,TBME-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-0.48,0.1,0.58
94,SAMPL8-17,MEK-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-0.59,-0.8,0.21000000000000008
95,SAMPL8-16,MEK-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-0.1,-0.3,0.19999999999999998
96,SAMPL8-14,MEK-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-7.02,0.1,7.119999999999999
97,SAMPL8-12,MEK-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-5.01,-0.4,4.609999999999999
98,SAMPL8-10,MEK-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-2.66,0.0,2.66
99,SAMPL8-9,MEK-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-1.39,0.4,1.79
100,SAMPL8-7,MEK-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-0.86,-0.4,0.45999999999999996
101,SAMPL8-6,MEK-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,0.01,-0.5,0.51
102,SAMPL8-5,MEK-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,0.7,-0.4,1.1
103,SAMPL8-3,MEK-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-6.18,-0.6,5.58
104,SAMPL8-1,MEK-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,0.46,-0.2,0.66
105,SAMPL8-16,Heptane-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-1.27,-1.0,0.27
106,SAMPL8-10,Heptane-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-4.07,-1.0,3.0700000000000003
107,SAMPL8-5,Heptane-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-0.7,-1.2,0.5
108,SAMPL8-1,Heptane-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,1.26,0.0,1.26
109,SAMPL8-17,Ethyl acetate-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,3.92,-1.4,5.32
110,SAMPL8-16,Ethyl acetate-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,4.62,-0.5,5.12
111,SAMPL8-14,Ethyl acetate-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-1.73,-0.8,0.9299999999999999
112,SAMPL8-12,Ethyl acetate-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-0.11,-1.4,1.2899999999999998
113,SAMPL8-10,Ethyl acetate-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,0.44,0.1,0.33999999999999997
114,SAMPL8-9,Ethyl acetate-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,3.09,-0.8,3.8899999999999997
115,SAMPL8-6,Ethyl acetate-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,1.22,-0.1,1.32
116,SAMPL8-5,Ethyl acetate-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,1.73,0.1,1.63
117,SAMPL8-3,Ethyl acetate-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-0.97,-0.8,0.16999999999999993
118,SAMPL8-1,Ethyl acetate-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,2.66,0.3,2.3600000000000003
119,SAMPL8-5,Cyclohexane-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-0.41,-1.1,0.6900000000000002
120,SAMPL8-16,Octanol-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-0.41,-0.4,0.009999999999999953
121,SAMPL8-14,Octanol-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-2.63,-1.0,1.63
122,SAMPL8-12,Octanol-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-1.85,-0.7,1.1500000000000001
123,SAMPL8-10,Octanol-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,0.06,-0.6,0.6599999999999999
124,SAMPL8-9,Octanol-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-0.39,-0.1,0.29000000000000004
125,SAMPL8-7,Octanol-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-1.68,-1.3,0.3799999999999999
126,SAMPL8-6,Octanol-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-0.56,-0.4,0.16000000000000003
127,SAMPL8-5,Octanol-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,-0.57,-0.5,0.06999999999999995
128,SAMPL8-1,Octanol-water,Molecular Dynamics Fingerprints (MDFPs),Mixed,logD_SAMPL8_ShuzheWang_ranked,0.35,0.8,0.45000000000000007
129,SAMPL8-16,Cyclohexane-DMF,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,-2.34,-1.3,1.0399999999999998
130,SAMPL8-6,Cyclohexane-DMF,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,-3.93,0.0,3.93
131,SAMPL8-1,Cyclohexane-DMF,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,-1.21,-0.7,0.51
132,SAMPL8-16,TBME-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,4.68,-1.2,5.88
133,SAMPL8-10,TBME-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,5.7,-0.9,6.6000000000000005
134,SAMPL8-6,TBME-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,2.56,-0.2,2.7600000000000002
135,SAMPL8-5,TBME-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,4.94,0.0,4.94
136,SAMPL8-1,TBME-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,6.22,0.1,6.12
137,SAMPL8-17,MEK-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,6.44,-0.8,7.24
138,SAMPL8-16,MEK-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,4.31,-0.3,4.609999999999999
139,SAMPL8-14,MEK-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,-15.1,0.1,15.2
140,SAMPL8-12,MEK-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,3.61,-0.4,4.01
141,SAMPL8-10,MEK-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,7.92,0.0,7.92
142,SAMPL8-9,MEK-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,5.88,0.4,5.4799999999999995
143,SAMPL8-7,MEK-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,1.88,-0.4,2.28
144,SAMPL8-6,MEK-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,4.39,-0.5,4.89
145,SAMPL8-5,MEK-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,7.77,-0.4,8.17
146,SAMPL8-3,MEK-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,-30.55,-0.6,29.95
147,SAMPL8-1,MEK-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,5.98,-0.2,6.180000000000001
148,SAMPL8-16,Heptane-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,1.58,-1.0,2.58
149,SAMPL8-10,Heptane-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,2.27,-1.0,3.27
150,SAMPL8-5,Heptane-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,2.97,-1.2,4.17
151,SAMPL8-1,Heptane-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,4.4,0.0,4.4
152,SAMPL8-17,Ethyl acetate-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,6.29,-1.4,7.6899999999999995
153,SAMPL8-16,Ethyl acetate-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,5.71,-0.5,6.21
154,SAMPL8-14,Ethyl acetate-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,-14.83,-0.8,14.03
155,SAMPL8-12,Ethyl acetate-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,4.01,-1.4,5.41
156,SAMPL8-10,Ethyl acetate-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,6.98,0.1,6.880000000000001
157,SAMPL8-9,Ethyl acetate-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,5.86,-0.8,6.66
158,SAMPL8-6,Ethyl acetate-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,3.47,-0.1,3.5700000000000003
159,SAMPL8-5,Ethyl acetate-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,5.73,0.1,5.630000000000001
160,SAMPL8-3,Ethyl acetate-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,-33.04,-0.8,32.24
161,SAMPL8-1,Ethyl acetate-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,6.97,0.3,6.67
162,SAMPL8-5,Cyclohexane-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,2.9,-1.1,4.0
163,SAMPL8-16,Octanol-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,3.02,-0.4,3.42
164,SAMPL8-14,Octanol-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,-18.45,-1.0,17.45
165,SAMPL8-12,Octanol-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,1.03,-0.7,1.73
166,SAMPL8-10,Octanol-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,2.6,-0.6,3.2
167,SAMPL8-9,Octanol-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,2.53,-0.1,2.63
168,SAMPL8-7,Octanol-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,-1.17,-1.3,0.13000000000000012
169,SAMPL8-6,Octanol-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,1.4,-0.4,1.7999999999999998
170,SAMPL8-5,Octanol-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,3.4,-0.5,3.9
171,SAMPL8-1,Octanol-water,RFE-uESE-extra,Physical (QM),logD_SabatinoRodriguezPaluch_uESE_extra,3.5,0.8,2.7
172,SAMPL8-16,Cyclohexane-DMF,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-3.27,-1.3,1.97
173,SAMPL8-6,Cyclohexane-DMF,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-7.38,0.0,7.38
174,SAMPL8-1,Cyclohexane-DMF,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-4.89,-0.7,4.1899999999999995
175,SAMPL8-16,TBME-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-0.58,-1.2,0.62
176,SAMPL8-10,TBME-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-0.94,-0.9,0.039999999999999925
177,SAMPL8-6,TBME-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-2.62,-0.2,2.42
178,SAMPL8-5,TBME-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-0.06,0.0,0.06
179,SAMPL8-1,TBME-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-0.57,0.1,0.6699999999999999
180,SAMPL8-17,MEK-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-0.23,-0.8,0.5700000000000001
181,SAMPL8-16,MEK-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,2.2,-0.3,2.5
182,SAMPL8-14,MEK-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,2.4,0.1,2.3
183,SAMPL8-12,MEK-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,3.25,-0.4,3.65
184,SAMPL8-10,MEK-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,2.05,0.0,2.05
185,SAMPL8-9,MEK-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,2.48,0.4,2.08
186,SAMPL8-7,MEK-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,1.08,-0.4,1.48
187,SAMPL8-6,MEK-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,0.29,-0.5,0.79
188,SAMPL8-5,MEK-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,1.62,-0.4,2.02
189,SAMPL8-3,MEK-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-1.09,-0.6,0.4900000000000001
190,SAMPL8-1,MEK-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,1.0,-0.2,1.2
191,SAMPL8-16,Heptane-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-0.94,-1.0,0.06000000000000005
192,SAMPL8-10,Heptane-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-1.84,-1.0,0.8400000000000001
193,SAMPL8-5,Heptane-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-0.28,-1.2,0.9199999999999999
194,SAMPL8-1,Heptane-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-0.65,0.0,0.65
195,SAMPL8-17,Ethyl acetate-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-1.65,-1.4,0.25
196,SAMPL8-16,Ethyl acetate-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,1.18,-0.5,1.68
197,SAMPL8-14,Ethyl acetate-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,0.93,-0.8,1.73
198,SAMPL8-12,Ethyl acetate-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,2.44,-1.4,3.84
199,SAMPL8-10,Ethyl acetate-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,0.08,0.1,0.020000000000000004
