microstate ID,canonical isomeric SMILES,Estimated Formal Charge
SAMPL8-23_micro000,C=C1Nc2cc(ccc2S1)O,0
SAMPL8-23_micro001,C=C1[NH2+]c2cc(ccc2S1)O,1
SAMPL8-23_micro002,C=C1Nc2cc(ccc2S1)[O-],-1
SAMPL8-23_micro003,Cc1[nH+]c2cc(ccc2s1)[O-],0
SAMPL8-23_micro004,C=C1[NH2+]c2cc(ccc2S1)[O-],0
SAMPL8-23_micro005,Cc1nc2cc(ccc2s1)[O-],-1
SAMPL8-23_micro006,Cc1[nH+]c2cc(ccc2s1)O,1
SAMPL8-23_micro007,Cc1nc2cc(ccc2s1)O,0
SAMPL8-11_micro000,Cn1c2c(c(cnc2ccc1=O)F)OC[C@H]3CC[C@@H](CC3)N,0
SAMPL8-11_micro001,Cn1c2c(c(cnc2ccc1=O)F)OC[C@H]3CC[C@@H](CC3)[NH3+],1
SAMPL8-11_micro002,C[n+]1c2c(c(c[nH+]c2ccc1[O-])F)OC[C@H]3CC[C@@H](CC3)N,1
SAMPL8-11_micro003,Cn1c2c(c(c[nH+]c2ccc1=O)F)OC[C@H]3CC[C@@H](CC3)[NH3+],2
SAMPL8-11_micro004,C[n+]1c2c(c(cnc2ccc1O)F)OC[C@H]3CC[C@@H](CC3)N,1
SAMPL8-11_micro005,C[n+]1c2c(c(cnc2ccc1O)F)OC[C@H]3CC[C@@H](CC3)[NH3+],2
SAMPL8-22_micro000,COc1cc2c(cc1OC)nc([nH]c2=N)Cl,0
SAMPL8-22_micro001,COc1cc2c(cc1OC)[n-]c(nc2=N)Cl,-1
SAMPL8-22_micro002,COc1cc2c(cc1OC)nc(nc2N)Cl,0
SAMPL8-22_micro003,COc1cc2c(cc1OC)[nH]c(nc2=N)Cl,0
SAMPL8-22_dortmund002,COc1cc2[nH+]c(Cl)nc(N)c2cc1OC,1
SAMPL8-22_dortmund004,COc1cc2nc(Cl)[nH]c(=[NH2+])c2cc1OC,1
SAMPL8-22_dortmund005,COc1cc2[nH]c(Cl)nc(=[NH2+])c2cc1OC,1
SAMPL8-22_dortmund001,COc1cc2[nH+]c(Cl)[nH]c(=[NH2+])c2cc1OC,2
SAMPL8-22_dortmund003,COc1cc2[nH+]c(Cl)[nH]c(=[NH2+])c2cc1OC,2
SAMPL8-1_micro000,c1ccc(c(c1)C(=O)O)Nc2cccc(c2)C(F)(F)F,0
SAMPL8-1_micro001,c1cc(cc(c1)N=C2C=CC=CC2C(=O)[O-])C(F)(F)F,-1
SAMPL8-1_micro002,c1cc(cc(c1)N=C2C=CC=CC2=C(O)[O-])C(F)(F)F,-1
SAMPL8-1_micro003,c1cc(cc(c1)N=C2CC=CC=C2C(=O)[O-])C(F)(F)F,-1
SAMPL8-1_micro004,c1ccc(c(c1)C(=O)[O-])Nc2cccc(c2)C(F)(F)F,-1
SAMPL8-1_micro005,c1cc(cc(c1)[NH+]=C2C=CC=CC2=C([O-])[O-])C(F)(F)F,-1
SAMPL8-1_micro006,c1cc(cc(c1)N=C2C=CC=CC2=C(O)O)C(F)(F)F,0
SAMPL8-1_micro007,c1cc(cc(c1)N=C2CC=CC=C2C(=O)O)C(F)(F)F,0
SAMPL8-1_micro008,c1cc(cc(c1)N=C2C=CCC=C2C(=O)[O-])C(F)(F)F,-1
SAMPL8-1_micro009,c1cc(cc(c1)N=C2C=CC=CC2C(=O)O)C(F)(F)F,0
SAMPL8-1_micro010,c1cc(cc(c1)N=C2C=CCC=C2C(=O)O)C(F)(F)F,0
SAMPL8-1_dortmund001,O=C(O)c1ccccc1[NH2+]c1cccc(C(F)(F)F)c1,1
SAMPL8-10_micro000,CS(=O)(=O)c1cccc(c1)c2ccc(cc2)CNCc3c(cccc3Cl)F,0
SAMPL8-10_micro001,CS(=O)(=O)c1cccc(c1)c2ccc(cc2)C[NH2+]Cc3c(cccc3Cl)F,1
SAMPL8-17_micro000,c1cc2c(cc1Br)n(c(n2)N)CC3(CCOCC3)CO,0
SAMPL8-17_micro001,c1cc2c(cc1Br)n(c(n2)[NH-])CC3(CCOCC3)CO,-1
SAMPL8-17_micro002,c1cc2c(cc1Br)n(c([nH+]2)N)CC3(CCOCC3)CO,1
SAMPL8-17_micro003,c1cc2c(cc1Br)n(c(n2)[NH3+])CC3(CCOCC3)CO,1
SAMPL8-17_micro004,c1cc2c(cc1Br)n(c(=N)[nH]2)CC3(CCOCC3)CO,0
SAMPL8-17_micro005,c1cc2c(cc1Br)n(c(n2)N)CC3(CCOCC3)C[O-],-1
SAMPL8-6_micro000,Cc1ccc(cc1NCc2ccc(s2)C(=O)O)Cl,0
SAMPL8-6_micro001,Cc1ccc(cc1NCc2ccc(s2)C(=O)[O-])Cl,-1
SAMPL8-6_micro002,Cc1ccc(cc1[NH2+]C=c2ccc(=C(O)O)s2)Cl,1
SAMPL8-6_micro003,Cc1ccc(cc1[NH2+]Cc2ccc(s2)C(=O)O)Cl,1
SAMPL8-6_micro004,Cc1ccc(cc1[NH2+]C=c2ccc(=C(O)[O-])s2)Cl,0
SAMPL8-6_micro005,Cc1ccc(cc1NC=c2ccc(=C(O)O)s2)Cl,0
SAMPL8-6_micro006,Cc1ccc(cc1N=Cc2ccc(s2)C(O)[O-])Cl,-1
SAMPL8-6_micro007,Cc1ccc(cc1[NH2+]Cc2ccc(s2)C(=O)[O-])Cl,0
SAMPL8-6_micro008,Cc1ccc(cc1N=Cc2ccc(s2)C(O)O)Cl,0
SAMPL8-6_micro009,Cc1ccc(cc1NC=c2ccc(=C(O)[O-])s2)Cl,-1
SAMPL8-9_micro000,c1cc2c(cc1Br)n(c(n2)N)CC3(CCCCC3)O,0
SAMPL8-9_micro001,c1cc2c(cc1Br)n(c(=N)[n-]2)CC3(CCCCC3)O,-1
SAMPL8-9_micro002,c1cc2c(cc1Br)[n+](c([nH]2)N)CC3(CCCCC3)O,1
SAMPL8-9_micro003,c1cc2c(cc1Br)n(c(=N)[nH]2)CC3(CCCCC3)O,0
SAMPL8-9_micro004,c1cc2c(cc1Br)n(c(n2)[NH3+])CC3(CCCCC3)O,1
SAMPL8-18_micro000,COc1ccc(cc1OC)N=c2c3ccccc3nc([nH]2)Cl,0
SAMPL8-18_micro001,COc1ccc(cc1OC)N=c2c3ccccc3[nH]c(n2)Cl,0
SAMPL8-18_micro002,COc1ccc(cc1OC)Nc2c3ccccc3nc(n2)Cl,0
SAMPL8-18_micro003,COc1ccc(cc1OC)Nc2c3ccccc3nc([nH+]2)Cl,1
SAMPL8-18_micro004,COc1ccc(cc1OC)Nc2c3ccccc3[nH+]c(n2)Cl,1
SAMPL8-18_micro005,COc1ccc(cc1OC)[N-]c2c3ccccc3nc(n2)Cl,-1
SAMPL8-20_micro000,c1ccc(cc1)c2c(cc3c(=N)[nH][nH]c3n2)Cl,0
SAMPL8-20_micro001,c1ccc(cc1)c2c(cc-3c(=N)[nH]nc3[nH]2)Cl,0
SAMPL8-20_micro002,c1ccc(cc1)c2c(cc-3c(n[nH+]c3[nH]2)N)Cl,1
SAMPL8-20_micro003,c1ccc(cc1)c2c(cc3c([nH+][nH]c3n2)N)Cl,1
SAMPL8-20_micro004,c1ccc(cc1)C2=NC3=NN=C(C3=CC2Cl)N,0
SAMPL8-20_micro005,c1ccc(cc1)C2=C(CC3C(=[NH2+])N=NC3=N2)Cl,1
SAMPL8-20_micro006,c1ccc(cc1)c2c(cc-3c([nH+]nc3[nH]2)N)Cl,1
SAMPL8-20_micro007,c1ccc(cc1)C2=NC3=NNC(=[NH2+])C3C=C2Cl,1
SAMPL8-20_micro008,c1ccc(cc1)C2C(C=C3C(=N)N=NC3=N2)Cl,0
SAMPL8-20_micro009,c1ccc(cc1)C2=NC3=NNC(=N)C3=CC2Cl,0
SAMPL8-20_micro010,c1ccc(cc1)C2=C(CC3=C(N=NC3=N2)N)Cl,0
SAMPL8-20_micro011,c1ccc(cc1)c2c(cc3c([nH]nc3n2)[NH3+])Cl,1
SAMPL8-20_micro012,c1ccc(cc1)C2=C(CC3=C(N2)N=NC3=N)Cl,0
SAMPL8-20_micro013,c1ccc(cc1)C2=NC3=NNC(=N)C3C=C2Cl,0
SAMPL8-20_micro014,c1ccc(cc1)C2=NC3=C(CC2Cl)C(=[NH2+])N=N3,1
SAMPL8-20_micro015,c1ccc(cc1)c2c(cc-3c(nnc3[nH]2)[NH3+])Cl,1
SAMPL8-20_micro016,c1ccc(cc1)c2c(cc-3c(=N)[nH][nH+]c3[nH]2)Cl,1
SAMPL8-20_micro017,c1ccc(cc1)c2c(cc3c([nH]nc3n2)N)Cl,0
SAMPL8-20_micro018,c1ccc(cc1)c2c(cc-3c(nnc3[nH]2)N)Cl,0
SAMPL8-20_micro019,c1ccc(cc1)C2C(=CC3=C(N=NC3=N2)N)Cl,0
SAMPL8-20_micro020,c1ccc(cc1)C2C(=CC3C(=N)N=NC3=N2)Cl,0
SAMPL8-20_micro021,c1ccc(cc1)C2=NC3=NN=C(C3C=C2Cl)N,0
SAMPL8-20_micro022,c1ccc(cc1)c2c(cc3c(n[nH]c3n2)N)Cl,0
SAMPL8-20_micro023,c1ccc(cc1)C2C(=CC3=C(N2)N=NC3=N)Cl,0
SAMPL8-20_micro024,c1ccc(cc1)C2=NC3=C(CC2Cl)C(=N)N=N3,0
SAMPL8-20_micro025,c1ccc(cc1)C2=C(CC3=C(N2)N=NC3=[NH2+])Cl,1
SAMPL8-20_micro026,c1ccc(cc1)c2c(cc3c(n[nH]c3n2)[NH3+])Cl,1
SAMPL8-20_micro027,c1ccc(cc1)C2=C(CC3C(=N)N=NC3=N2)Cl,0
SAMPL8-20_micro028,c1ccc(cc1)C2=C(CC3=C(N=NC3=N2)[NH3+])Cl,1
SAMPL8-3_micro000,c1cc(oc1)CN=C2C=C(C(=CC2=C(O)O)S(=O)(=O)N)Cl,0
SAMPL8-3_micro001,c1cc(oc1)CN=C2CC(=C(C=C2C(=O)[O-])S(=O)(=O)N)Cl,-1
SAMPL8-3_micro002,c1cc(oc1)CN=C2CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,0
SAMPL8-3_micro003,c1cc(oc1)CN=C2CC(=C(C=C2C(=O)O)S(=O)(=O)[NH-])Cl,-1
SAMPL8-3_micro004,c1cc(oc1)CN=C2C=C(C(C=C2C(=O)O)S(=O)(=O)N)Cl,0
SAMPL8-3_micro005,c1cc(oc1)CN=C2C=C(C(=CC2=C(O)[O-])S(=O)(=O)N)Cl,-1
SAMPL8-3_micro006,c1cc(oc1)CNc2cc(c(cc2C(=O)O)S(=O)(=O)N)Cl,0
SAMPL8-3_micro007,c1cc(oc1)CN=C2C=C(C(C=C2C(=O)[O-])S(=O)(=O)[NH-])Cl,-2
SAMPL8-3_micro008,c1cc(oc1)CN=C2C=C(C(=CC2C(=O)O)S(=O)(=O)N)Cl,0
SAMPL8-3_micro009,c1cc(oc1)CN=C2C=C(C(=CC2C(=O)[O-])S(=O)(=O)N)Cl,-1
SAMPL8-3_micro010,c1cc(oc1)CNc2cc(c(cc2C(=O)[O-])S(=O)(=O)N)Cl,-1
SAMPL8-3_micro011,c1cc(oc1)CN=C2C=C(C(C=C2C(=O)O)S(=O)(=O)[NH-])Cl,-1
SAMPL8-3_micro012,c1cc(oc1)CN=C2C=C(C(=CC2=C(O)[O-])S(=O)(=O)[NH-])Cl,-2
SAMPL8-3_micro013,c1cc(oc1)C[NH+]=C2C=C(C(=CC2=C([O-])[O-])S(=O)(=O)[NH-])Cl,-2
SAMPL8-3_micro014,c1cc(oc1)CNc2cc(c(cc2C(=O)[O-])S(=O)(=O)[NH-])Cl,-2
SAMPL8-3_micro015,c1cc(oc1)CN=C2C=C(C(=CC2=C(O)O)S(=O)(=O)[NH-])Cl,-1
SAMPL8-3_micro016,c1cc(oc1)CNc2cc(c(cc2C(=O)O)S(=O)(=O)[NH-])Cl,-1
SAMPL8-3_micro017,c1cc(oc1)CN=C2C=C(C(=CC2C(=O)O)S(=O)(=O)[NH-])Cl,-1
SAMPL8-3_micro018,c1cc(oc1)CN=C2C=C(C(C=C2C(=O)[O-])S(=O)(=O)N)Cl,-1
SAMPL8-3_micro019,c1cc(oc1)CN=C2CC(=C(C=C2C(=O)[O-])S(=O)(=O)[NH-])Cl,-2
SAMPL8-3_micro020,c1cc(oc1)C[NH+]=C2C=C(C(=CC2=C([O-])[O-])S(=O)(=O)N)Cl,-1
SAMPL8-3_micro021,c1cc(oc1)CN=C2C=C(C(=CC2C(=O)[O-])S(=O)(=O)[NH-])Cl,-2
SAMPL8-3_dortmund001,NS(=O)(=O)C1=CC(=C(O)O)/C(=[NH+]/Cc2ccco2)C=C1Cl,1
SAMPL8-12_micro000,Cc1ccc(cc1)Cc2cnc(nc2N3CCOCC3)N,0
SAMPL8-12_micro001,Cc1ccc(cc1)Cc2c[n-]c(nc2=[N+]3CCOCC3)[NH-],-1
SAMPL8-12_micro002,Cc1ccc(cc1)Cc2cnc(=N)[nH]c2N3CCOCC3,0
SAMPL8-12_micro003,Cc1ccc(cc1)Cc2c[nH]c(=N)nc2N3CCOCC3,0
SAMPL8-12_dortmund002,Cc1ccc(Cc2c[nH+]c(N)nc2N2CCOCC2)cc1,1
SAMPL8-12_dortmund004,Cc1ccc(Cc2c[nH]c(=[NH2+])nc2N2CCOCC2)cc1,1
SAMPL8-12_dortmund006,Cc1ccc(Cc2cnc(=[NH2+])[nH]c2N2CCOCC2)cc1,1
SAMPL8-12_dortmund001,Cc1ccc(Cc2c[nH+]c(N)[nH]c2=[N+]2CCOCC2)cc1,2
SAMPL8-12_dortmund003,Cc1ccc(Cc2c[nH]c(=[NH2+])nc2[NH+]2CCOCC2)cc1,2
SAMPL8-12_dortmund005,Cc1ccc(Cc2c[nH+]c(=[NH2+])[nH]c2N2CCOCC2)cc1,2
SAMPL8-15_micro000,Cc1ccccc1N=c2c3ccccc3[nH]c(n2)Cl,0
SAMPL8-15_micro001,Cc1ccccc1Nc2c3ccccc3nc(n2)Cl,0
SAMPL8-15_micro002,Cc1ccccc1N=c2c3ccccc3nc([nH]2)Cl,0
SAMPL8-15_micro003,CC1=CC=CC=C1NC2=C3C=CC=CC3=NC(=[NH+]2)Cl,1
SAMPL8-15_micro004,CC1=CC=CC=C1NC1=C2C=CC=CC2=[NH+]C(Cl)=N1,1
SAMPL8-4_micro000,Cc1c([nH]c(=Nc2ccc(c(c2)Cl)C#N)s1)C(=O)O,0
SAMPL8-4_micro001,Cc1c([nH+]c(s1)Nc2ccc(c(c2)Cl)C#N)C(=O)[O-],0
SAMPL8-4_micro002,Cc1c([nH+]c(s1)Nc2ccc(c(c2)Cl)C#N)C(=O)O,1
SAMPL8-4_micro003,Cc1c([nH]c(=Nc2ccc(c(c2)Cl)C#N)s1)C(=O)[O-],-1
SAMPL8-4_micro004,Cc1c([nH]c(=Nc2ccc(c(c2)Cl)C#N)s1)C(=O)O,0
SAMPL8-4_micro005,Cc1c(nc(s1)Nc2ccc(c(c2)Cl)C#N)C(=O)[O-],-1
SAMPL8-4_micro006,Cc1c(nc(s1)[NH+]=C2C=CC(=C=[N-])C(=C2)Cl)C(=O)[O-],-1
SAMPL8-4_micro007,Cc1c([nH+]c(s1)[NH+]=C2C=CC(=C=[N-])C(=C2)Cl)C(=O)O,1
SAMPL8-4_micro008,Cc1c(nc(s1)N=C2C=CC(=C=[N-])C(=C2)Cl)C(=O)O,-1
SAMPL8-4_micro009,Cc1c([nH+]c(s1)N=C2C=CC(=C=[N-])C(=C2)Cl)C(=O)[O-],-1
SAMPL8-4_micro010,Cc1c(nc(s1)Nc2ccc(c(c2)Cl)C#N)C(=O)O,0
SAMPL8-14_micro000,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc(=N)[nH]c2N,0
SAMPL8-14_micro001,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2cnc(=N)[n-]c2N,-2
SAMPL8-14_micro002,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc([nH]c2=N)N,0
SAMPL8-14_micro003,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2c[n-]c(nc2=N)N,-2
SAMPL8-14_micro004,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[nH+]c(nc2[NH-])[NH-],-1
SAMPL8-14_micro005,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc(nc2N)[NH-],-1
SAMPL8-14_micro006,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[nH]c(=N)[nH]c2=N,0
SAMPL8-14_micro007,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2cnc([nH]c2=N)[NH-],-2
SAMPL8-14_micro008,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2cnc(nc2N)N,-1
SAMPL8-14_micro09,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[nH]c(=N)[n-]c2=N,-1
SAMPL8-14_micro010,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[n-]c(nc2=N)N,-1
SAMPL8-14_micro011,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2cnc(=[NH2+])[n-]c2[NH-],-2
SAMPL8-14_micro012,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc([n-]c2=[NH2+])[NH-],-1
SAMPL8-14_micro013,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[nH]c(=N)nc2N,0
SAMPL8-14_micro014,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2cnc(=N)[n-]c2[NH-],-3
SAMPL8-14_micro015,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2c[n-]c([nH+]c2=N)[NH-],-2
SAMPL8-14_micro016,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc(=N)[nH]c2N,0
SAMPL8-14_micro017,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[nH]c(nc2=N)N,0
SAMPL8-14_micro018,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc([n-]c2=N)[NH-],-2
SAMPL8-14_micro019,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc(=[NH2+])[n-]c2[NH-],-1
SAMPL8-14_micro020,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2c[nH]c(=N)[n-]c2=N,-2
SAMPL8-14_micro021,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc([nH]c2=N)[NH-],-1
SAMPL8-14_micro022,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2c[nH]c(nc2=N)N,-1
SAMPL8-14_micro023,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc([nH]c2=N)N,0
SAMPL8-14_micro024,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc(nc2N)N,0
SAMPL8-14_micro025,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[n-]c([nH+]c2=N)[NH-],-1
SAMPL8-14_micro026,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2c[nH+]c(=N)[n-]c2[NH-],-2
SAMPL8-14_micro027,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2c[nH]c(=N)[nH]c2=N,-1
SAMPL8-14_micro028,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2c[nH]c(=N)nc2N,-1
SAMPL8-14_micro029,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2cnc(=N)[nH]c2N,-1
SAMPL8-14_micro030,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[nH]c(nc2=N)N,0
SAMPL8-14_micro031,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2cnc([n-]c2=[NH2+])[NH-],-2
SAMPL8-14_micro032,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2cnc([nH]c2=N)N,-1
SAMPL8-14_micro033,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[nH]c(=N)nc2N,0
SAMPL8-14_micro034,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[nH]c(=N)[nH]c2=N,0
SAMPL8-14_dortmund002,Cc1cc(Cc2c[nH+]c(N)nc2N)cc(C(C)(C)C)c1O,1
SAMPL8-14_dortmund004,Cc1cc(Cc2cnc(=[NH2+])[nH]c2N)cc(C(C)(C)C)c1O,1
SAMPL8-14_dortmund006,Cc1cc(Cc2c[nH]c(=N)[nH]c2=[NH2+])cc(C(C)(C)C)c1O,1
SAMPL8-14_dortmund007,Cc1cc(Cc2c[nH]c(=N)[nH]c2=[NH2+])cc(C(C)(C)C)c1O,1
SAMPL8-14_dortmund009,Cc1cc(Cc2cnc(N)[nH]c2=[NH2+])cc(C(C)(C)C)c1O,1
SAMPL8-14_dortmund011,Cc1cc(Cc2c[nH]c(=[NH2+])nc2N)cc(C(C)(C)C)c1O,1
SAMPL8-14_dortmund012,Cc1cc(Cc2c[nH]c(N)nc2=[NH2+])cc(C(C)(C)C)c1O,1
SAMPL8-14_dortmund001,Cc1cc(Cc2c[nH+]c(N)[nH]c2=[NH2+])cc(C(C)(C)C)c1O,2
SAMPL8-14_dortmund003,Cc1cc(Cc2c[nH+]c(=[NH2+])[nH]c2N)cc(C(C)(C)C)c1O,2
SAMPL8-14_dortmund005,Cc1cc(Cc2c[nH]c(=[NH2+])[nH]c2=[NH2+])cc(C(C)(C)C)c1O,2
SAMPL8-14_dortmund008,Cc1cc(Cc2c[nH+]c(N)[nH]c2=[NH2+])cc(C(C)(C)C)c1O,2
SAMPL8-14_dortmund010,Cc1cc(Cc2c[nH]c(=[NH2+])nc2[NH3+])cc(C(C)(C)C)c1O,2
SAMPL8-5_micro000,c1ccc(c(c1)CC(=O)O)Nc2c(cccc2Cl)Cl,0
SAMPL8-5_micro001,c1ccc(c(c1)CC(=O)[O-])[NH2+]c2c(cccc2Cl)Cl,0
SAMPL8-5_micro002,c1ccc(c(c1)C=C(O)[O-])Nc2c(cccc2Cl)Cl,-1
SAMPL8-5_micro003,c1ccc(c(c1)CC(=O)O)[NH2+]c2c(cccc2Cl)Cl,1
SAMPL8-5_micro004,c1ccc(c(c1)C=C(O)[O-])[NH2+]c2c(cccc2Cl)Cl,0
SAMPL8-5_micro005,c1ccc(c(c1)C=C(O)O)Nc2c(cccc2Cl)Cl,0
SAMPL8-5_micro006,c1ccc(c(c1)C=C(O)O)[NH2+]c2c(cccc2Cl)Cl,1
SAMPL8-5_micro007,c1ccc(c(c1)CC(=O)[O-])Nc2c(cccc2Cl)Cl,-1
SAMPL8-21_micro000,COc1cc(cc(c1O)OC)Cc2c(=N)[nH]c(=N)[nH]c2OC,0
