,Submission,Method Name,Method Type,Molecule ID,Formal Charge,Predicted pKa,Experimental pKa,Absolute Error
63,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-23,0,0,9.02,9.02
64,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-2,-1,14,4.41,9.59
65,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-3,-1,14,4.0,10.0
66,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-4,0,14,5.77,8.23
67,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-5,0,14,3.92,10.08
68,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-6,0,14,4.17,9.83
69,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-7,0,14,6.63,7.37
70,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-8,0,14,2.78,11.22
71,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-9,0,14,6.08,7.92
72,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-10,0,0,7.71,7.71
73,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-12,1,14,6.98,7.02
74,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-14,1,0,7.27,7.27
75,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-15,0,14,2.54,11.46
76,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-16,0,14,5.1,8.9
77,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-17,0,14,6.58,7.42
78,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-18,0,14,2.72,11.28
79,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-19,1,14,4.93,9.07
80,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-19,1,14,6.99,7.01
81,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-1,0,14,2.54,11.46
82,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-1,0,14,5.01,8.99
83,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-20,1,14,2.44,11.56
84,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-21,1,14,5.38,8.620000000000001
85,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-22,1,14,3.36,10.64
86,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-23,0,14,2.65,11.35
87,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-23,0,0,9.02,9.02
88,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-2,-1,14,4.41,9.59
89,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-3,0,14,4.0,10.0
90,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-4,0,14,5.77,8.23
91,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-5,0,14,3.92,10.08
92,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-6,0,14,4.17,9.83
93,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-7,0,14,6.63,7.37
94,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-8,0,14,2.78,11.22
95,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-9,0,14,6.08,7.92
96,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-10,0,0,7.71,7.71
97,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-12,1,14,6.98,7.02
98,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-14,1,0,7.27,7.27
99,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-15,0,14,2.54,11.46
100,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-16,0,14,5.1,8.9
101,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-17,0,14,6.58,7.42
102,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-18,0,14,2.72,11.28
103,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-19,1,14,4.93,9.07
104,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-19,1,14,6.99,7.01
105,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-1,0,14,2.54,11.46
106,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-1,0,14,5.01,8.99
107,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-20,0,14,2.44,11.56
108,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-21,1,14,5.38,8.620000000000001
109,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-22,1,14,3.36,10.64
110,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-23,0,14,2.65,11.35
111,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-23,0,0,9.02,9.02
112,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-2,-1,14,4.41,9.59
113,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-3,0,14,4.0,10.0
114,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-4,0,14,5.77,8.23
115,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-5,0,14,3.92,10.08
116,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-6,0,14,4.17,9.83
117,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-7,0,14,6.63,7.37
118,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-8,0,14,2.78,11.22
119,PKA_ECRISM_modified,EC-RISM,QM+LEC,SAMPL8-9,0,14,6.08,7.92
120,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-10,0,0,7.71,7.71
121,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-12,-1,14,6.98,7.02
122,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-14,-1,0,7.27,7.27
123,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-15,0,14,2.54,11.46
124,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-16,0,14,5.1,8.9
125,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-17,-1,14,6.58,7.42
126,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-18,-1,14,2.72,11.28
127,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-19,1,14,4.93,9.07
128,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-19,1,14,6.99,7.01
129,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-1,-1,14,2.54,11.46
130,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-1,-1,14,5.01,8.99
131,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-20,0,14,2.44,11.56
132,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-21,-1,14,5.38,8.620000000000001
133,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-22,-1,14,3.36,10.64
134,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-23,0,14,2.65,11.35
135,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-23,0,0,9.02,9.02
136,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-2,-1,14,4.41,9.59
137,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-3,-1,14,4.0,10.0
138,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-4,-1,14,5.77,8.23
139,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-5,0,14,3.92,10.08
140,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-6,0,14,4.17,9.83
141,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-7,-1,14,6.63,7.37
142,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-8,0,14,2.78,11.22
143,pKa-RobertRaddi_XGBoost_modified,XGBoost,QSPR/ML,SAMPL8-9,-1,14,6.08,7.92
144,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-10,0,0,7.71,7.71
145,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-12,1,14,6.98,7.02
146,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-14,1,0,7.27,7.27
147,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-15,0,14,2.54,11.46
148,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-16,0,14,5.1,8.9
149,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-17,0,14,6.58,7.42
150,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-18,0,14,2.72,11.28
151,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-19,1,14,4.93,9.07
152,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-19,1,14,6.99,7.01
153,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-1,0,14,2.54,11.46
154,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-1,0,14,5.01,8.99
155,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-20,0,14,2.44,11.56
156,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-21,1,14,5.38,8.620000000000001
157,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-22,1,14,3.36,10.64
158,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-23,0,14,2.65,11.35
159,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-23,0,0,9.02,9.02
160,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-2,-1,14,4.41,9.59
161,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-3,0,14,4.0,10.0
162,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-4,0,14,5.77,8.23
163,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-5,0,14,3.92,10.08
164,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-6,0,14,4.17,9.83
165,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-7,0,14,6.63,7.37
166,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-8,0,14,2.78,11.22
167,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,RFE-uESE-extra,QM,SAMPL8-9,0,14,6.08,7.92
168,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-10,0,0,7.71,7.71
169,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-12,0,14,6.98,7.02
170,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-14,0,0,7.27,7.27
171,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-15,0,14,2.54,11.46
172,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-16,0,14,5.1,8.9
173,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-17,0,14,6.58,7.42
174,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-18,0,14,2.72,11.28
175,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-19,0,14,4.93,9.07
176,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-19,0,14,6.99,7.01
177,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-1,-1,14,2.54,11.46
178,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-1,-1,14,5.01,8.99
179,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-20,0,14,2.44,11.56
180,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-21,1,14,5.38,8.620000000000001
181,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-22,0,14,3.36,10.64
182,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-23,0,14,2.65,11.35
183,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-23,0,0,9.02,9.02
184,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-2,-1,14,4.41,9.59
185,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-3,-1,14,4.0,10.0
186,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-4,0,14,5.77,8.23
187,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-5,-1,14,3.92,10.08
188,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-6,0,14,4.17,9.83
189,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-7,0,14,6.63,7.37
190,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-8,0,14,2.78,11.22
191,pKa_Chemaxon_modified,Chemaxon,Other,SAMPL8-9,0,14,6.08,7.92
192,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-10,0,0,7.71,7.71
193,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-12,1,14,6.98,7.02
194,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-14,1,0,7.27,7.27
195,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-15,0,14,2.54,11.46
196,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-16,0,14,5.1,8.9
197,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-17,0,14,6.58,7.42
198,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-18,0,14,2.72,11.28
199,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-19,1,14,4.93,9.07
200,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-19,1,14,6.99,7.01
201,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-1,0,14,2.54,11.46
202,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-1,0,14,5.01,8.99
203,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-20,1,14,2.44,11.56
204,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-21,1,14,5.38,8.620000000000001
205,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-22,1,14,3.36,10.64
206,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-23,0,14,2.65,11.35
207,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-23,0,0,9.02,9.02
208,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-2,-1,14,4.41,9.59
209,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-3,0,14,4.0,10.0
210,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-4,0,14,5.77,8.23
211,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-5,0,14,3.92,10.08
212,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-6,0,14,4.17,9.83
213,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-7,0,14,6.63,7.37
214,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-8,0,14,2.78,11.22
215,pKa-3DS-3_modified,COSMO-RS pKa fit,QM+LEC,SAMPL8-9,0,14,6.08,7.92
216,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-10,0,0,7.71,7.71
217,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-12,1,14,6.98,7.02
218,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-14,1,0,7.27,7.27
219,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-15,0,14,2.54,11.46
220,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-16,0,14,5.1,8.9
221,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-17,0,14,6.58,7.42
222,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-18,0,14,2.72,11.28
223,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-19,1,14,4.93,9.07
224,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-19,1,14,6.99,7.01
225,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-1,0,14,2.54,11.46
226,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-1,0,14,5.01,8.99
227,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-20,1,14,2.44,11.56
228,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-21,1,14,5.38,8.620000000000001
229,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-22,1,14,3.36,10.64
230,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-23,0,14,2.65,11.35
231,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-23,0,0,9.02,9.02
232,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-2,-1,14,4.41,9.59
233,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-3,0,14,4.0,10.0
234,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-4,0,14,5.77,8.23
235,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-5,0,14,3.92,10.08
236,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-6,0,14,4.17,9.83
237,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-7,0,14,6.63,7.37
238,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-8,0,14,2.78,11.22
239,pKa-3DS-2_modified,COSMO-RS base pKa fit,QM+LEC,SAMPL8-9,0,14,6.08,7.92
240,pKa-RobertRaddi_DeepGP_modified,Deep Gaussian Process,QSPR/ML,SAMPL8-10,0,0,7.71,7.71
241,pKa-RobertRaddi_DeepGP_modified,Deep Gaussian Process,QSPR/ML,SAMPL8-12,-1,14,6.98,7.02
242,pKa-RobertRaddi_DeepGP_modified,Deep Gaussian Process,QSPR/ML,SAMPL8-14,-1,0,7.27,7.27
243,pKa-RobertRaddi_DeepGP_modified,Deep Gaussian Process,QSPR/ML,SAMPL8-15,0,14,2.54,11.46
